symbol,name,theme,role,original_action,review_close,review_high,review_low,review_change_rate,review_turnover,review_update_time,review_class,review_reason,next_action
SH.688017,绿的谐波,人形机器人,龙头,不追高，只等分歧回踩,323.66,325.99,315.45,-0.7695373578195386,3312494511.0,2026-05-20 15:00:00,正确观察,未出现清晰计划买点,继续观察
SH.688697,纽威数控,人形机器人,补涨,仅实时观察，需补K线后才可交易,24.05,24.8,23.66,-3.953674121405748,579195820.0,2026-05-20 15:00:00,正确观察,原计划观察，事后未证明必须交易,维持规则
SZ.300276,三丰智能,人形机器人,补涨,仅实时观察，需补K线后才可交易,8.64,8.92,8.55,-5.470459518599558,1009012747.95,2026-05-20 15:00:00,正确观察,原计划观察，事后未证明必须交易,维持规则
SZ.300100,双林股份,人形机器人,补涨,仅实时观察，需补K线后才可交易,33.45,34.1,33.32,-4.044750430292588,660483761.93,2026-05-20 15:00:00,正确观察,原计划观察，事后未证明必须交易,维持规则
SH.688012,中微公司,半导体设备,龙头,不追高，只等分歧回踩,490.33,498.0,470.0,2.2564701466079917,14171009598.0,2026-05-20 15:00:00,正确观察,未出现清晰计划买点,继续观察
SZ.002371,北方华创,半导体设备,中军,可列入次日计划,656.0,660.0,614.0,5.857673067613356,10520821530.03,2026-05-20 15:00:00,正确观察,计划买点出现，需结合是否实际执行再归类盈利/亏损,若交易需补成交记录
SH.688072,拓荆科技,半导体设备,中军,仅实时观察，需补K线后才可交易,634.88,636.27,566.03,14.407222532571694,7357057499.0,2026-05-20 15:00:00,规则过严,候选明显走强且触及计划点，但原计划禁止交易,补齐K线后评估是否允许更早低吸/半路
SH.688037,芯源微,半导体设备,中军,仅实时观察，需补K线后才可交易,307.81,313.0,286.2,4.512426999864183,2588122976.0,2026-05-20 15:00:00,正确观察,原计划观察，事后未证明必须交易,维持规则
