ticker,side,target_weight,target_value,current_qty_used_for_netting,target_qty,preview_qty,order_price,preview_order_value,bid,ask,last,update_time,order_value_ok
US.AMZN,SELL,0.05933875,296.69,4.0,1,3,259.01,777.03,259.01,259.35,259.34,2026-05-20 00:17:15.435,True
US.AVGO,SELL,0.12383646,619.18,2.0,1,1,411.52,411.52,411.52,412.0,411.07,2026-05-20 00:16:31.119,True
US.BIL,SELL,0.05833333,291.67,6.0,3,3,91.55,274.65,91.55,91.56,91.55,2026-05-20 00:17:34.530,True
US.GLD,SELL,0.075,375.0,1.0,0,1,412.0,412.0,412.0,412.38,411.5,2026-05-20 00:17:08.959,True
US.GOOGL,BUY,0.30340152,1517.01,2.0,3,1,388.28,388.28,387.8,388.28,387.66,2026-05-20 00:17:28.709,True
US.NVDA,BUY,0.24406277,1220.31,0.0,5,5,221.56,1107.8,221.54,221.56,220.61,2026-05-20 00:17:38.952,True
