candidate_id,desc,risk_pool,defensive_pool,daily_rows,rebalance_count,risk_on_rebalance_count,defensive_rebalance_count,unique_risk_assets,avg_turnover_on_rebalance,median_turnover_on_rebalance,max_turnover_on_rebalance,annualized_turnover_proxy,avg_gross_exposure,max_gross_exposure,leveraged_day_pct,cash_only_day_pct,worst_daily_return,worst_daily_date,best_daily_return,max_consecutive_loss_days,latest_date,latest_equity,latest_weights_json,full_final,full_ann_ret,full_total_ret,full_max_dd,full_sharpe,full_sortino,full_calmar,full_worst_month,full_positive_months,full_years,train_final,train_ann_ret,train_total_ret,train_max_dd,train_sharpe,train_sortino,train_calmar,train_worst_month,train_positive_months,train_years,oos_final,oos_ann_ret,oos_total_ret,oos_max_dd,oos_sharpe,oos_sortino,oos_calmar,oos_worst_month,oos_positive_months,oos_years,recent_final,recent_ann_ret,recent_total_ret,recent_max_dd,recent_sharpe,recent_sortino,recent_calmar,recent_worst_month,recent_positive_months,recent_years,crisis_2018q4_dd,crisis_2018q4_ret,crisis_2020_dd,crisis_2020_ret,crisis_2022_dd,crisis_2022_ret,crisis_2025_dd,crisis_2025_ret,crisis_worst_dd,min_equity_pct,rolling_3y_worst_ann,rolling_3y_p10_ann,rolling_3y_median_ann,rolling_3y_worst_dd,rolling_3y_ann_ge_15_pct,rolling_5y_worst_ann,rolling_5y_p10_ann,rolling_5y_median_ann,rolling_5y_worst_dd,rolling_5y_ann_ge_15_pct,attack_score,attack_status
ATK00059,ai_mega->gld_bil trend200/mkt200 mom60 HV<=36% exp 120%/30%/150% top3 DD10%/25%,ai_mega,gld_bil,3521,705,519,186,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.43,0.0276,2.3,21.7,1.1472,1.5,57.82,0.0,-10.61,2018-07-26,13.94,11,2026-05-19,524180.12,"{""US.AMZN"": 0.3560325, ""US.AVGO"": 0.3560325, ""US.GOOGL"": 0.3560325}",550211.0,30.25,3568.07,-37.32,0.88,1.13,0.81,-21.56,60.1,13.6,51129.0,17.45,240.86,-29.83,0.56,0.67,0.58,-16.93,53.8,7.6,159500.0,48.29,963.33,-27.4,1.22,1.66,1.76,-21.56,69.0,6.0,41794.0,67.04,178.63,-24.34,1.5,2.1,2.75,-9.18,69.6,2.0,-18.8,-16.19,-23.54,-10.62,-25.05,-20.53,-3.18,20.19,-25.05,89.48,1.14,11.43,24.45,-37.32,85.3,8.65,14.62,22.61,-37.32,88.9,171.902,attack_candidate
ATK00161,ai_mega->gld_bil trend50/mkt100 mom120 HV<=22% exp 80%/15%/150% top2 DD10%/12%,ai_mega,gld_bil,3521,177,106,71,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.7867,0.614,2.3,9.97,0.8855,1.5,23.86,0.0,-8.13,2017-02-23,14.31,10,2026-05-19,357409.22,"{""CASH"": 0.31019492, ""US.GOOGL"": 0.34490254, ""US.NVDA"": 0.34490254}",425841.0,27.82,2738.94,-21.89,1.0,1.33,1.27,-14.51,60.7,13.6,76050.0,23.73,407.0,-21.89,0.86,1.12,1.08,-14.51,57.1,7.6,81596.0,32.62,443.97,-21.5,1.16,1.57,1.52,-8.99,64.8,6.0,34333.0,51.38,128.88,-21.5,1.43,1.94,2.39,-5.69,73.9,2.0,-15.45,-12.74,-13.09,-2.87,-9.3,2.13,-3.93,9.19,-15.45,96.52,6.13,12.87,27.53,-21.89,84.6,11.59,15.3,29.26,-21.89,90.5,152.424,attack_candidate
ATK00028,ai_mega->gld_bil trend150/mkt100 mom20 HV<=26% exp 120%/15%/125% top2 DD15%/25%,ai_mega,gld_bil,3521,705,468,237,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.6016,0.059,2.5,30.36,0.9907,1.25,51.55,0.0,-9.09,2024-07-17,19.43,9,2026-05-19,433895.82,"{""CASH"": 0.2, ""US.BIL"": 0.35, ""US.GLD"": 0.45}",512917.0,29.58,3319.45,-28.83,0.97,1.36,1.03,-10.92,61.3,13.6,104882.0,29.05,599.21,-25.28,0.96,1.32,1.15,-10.92,61.5,7.6,71746.0,29.8,378.31,-24.12,0.96,1.39,1.24,-10.88,62.0,6.0,40241.0,63.9,168.28,-24.12,1.57,2.41,2.65,-9.42,65.2,2.0,-9.78,-6.44,-18.82,-12.93,-16.73,-11.5,-3.18,13.94,-18.82,95.59,1.71,6.28,30.45,-28.83,80.4,6.99,13.36,27.38,-28.83,87.3,150.593,attack_candidate
ATK00100,ai_mega->bil_cash trend200/mkt200 mom120 HV<=22% exp 80%/25%/150% top3 DD15%/30%,ai_mega,bil_cash,3521,1174,737,437,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.2823,0.0,2.2,23.72,1.0795,1.5,54.93,0.0,-9.97,2018-07-26,15.04,9,2026-05-19,308819.4,"{""US.AVGO"": 0.38698624, ""US.GOOGL"": 0.38698624, ""US.NVDA"": 0.38698624}",326821.0,25.37,2078.81,-25.16,0.81,1.05,1.01,-15.05,69.9,13.6,49104.0,16.83,227.36,-24.0,0.55,0.68,0.7,-15.05,63.7,7.6,96865.0,36.46,545.77,-25.16,1.1,1.51,1.45,-12.84,77.5,6.0,31414.0,44.79,109.43,-25.16,1.14,1.47,1.78,-9.91,69.6,2.0,-9.88,-9.27,-11.89,-9.09,-0.01,2.49,-1.14,10.09,-11.89,89.11,4.48,12.54,22.85,-25.16,86.0,10.52,14.13,21.21,-25.16,87.3,141.672,attack_candidate
ATK00014,ai_mega->cash trend150/mkt150 mom20 HV<=26% exp 80%/20%/150% top2 DD15%/18%,ai_mega,cash,3521,705,523,182,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.5707,0.1454,3.0,28.8,0.8152,1.5,45.87,25.99,-9.13,2024-07-17,17.82,8,2026-05-19,545196.11,"{""CASH"": 0.1892993, ""US.GOOGL"": 0.40535035, ""US.NVDA"": 0.40535035}",565081.0,30.51,3667.2,-29.77,0.97,1.27,1.02,-15.98,71.2,13.6,120233.0,31.39,701.55,-19.68,0.99,1.3,1.6,-15.98,69.2,7.6,68548.0,28.82,356.98,-29.77,0.93,1.21,0.97,-10.44,74.6,6.0,32832.0,48.03,118.88,-29.77,1.23,1.71,1.61,-9.59,69.6,2.0,-17.43,-16.69,-17.73,-10.86,-9.85,-7.08,-1.76,8.34,-17.73,97.76,2.95,11.4,31.49,-29.77,83.9,7.6,16.19,29.11,-29.77,92.1,128.919,attack_candidate
ATK00074,ai_mega->gld_bil trend150/mkt100 mom120 HV<=36% exp 80%/30%/125% top2 DD6%/25%,ai_mega,gld_bil,3521,177,123,54,US.AMZN|US.AVGO|US.GOOGL|US.META|US.MSFT|US.NVDA,0.594,0.1995,2.5,7.52,0.9483,1.25,42.6,0.0,-9.09,2024-07-17,16.1,10,2026-05-19,506456.09,"{""CASH"": 0.34572506, ""US.GOOGL"": 0.32713747, ""US.NVDA"": 0.32713747}",516549.0,29.65,3343.66,-33.16,0.9,1.19,0.89,-24.0,58.9,13.6,75137.0,23.53,400.91,-23.25,0.8,1.03,1.01,-16.56,53.8,7.6,102028.0,37.65,580.19,-33.16,1.01,1.36,1.14,-24.0,64.8,6.0,31189.0,44.27,107.92,-24.38,1.02,1.4,1.82,-9.04,65.2,2.0,-17.54,-14.9,-16.93,-4.5,-27.64,-23.28,-7.61,0.59,-27.64,90.35,5.28,19.56,30.6,-33.16,95.1,10.76,17.71,30.68,-33.16,96.8,126.273,attack_candidate
